DEPTH,Gamma Ray (GR),Deep Resisitivity (RT),Medium Resistivity (RM),Shallow Resistivity (RS),Density (RHOB),Neutron Porosity (NPHI),Total Porosity (PHIT),Effective Porosity (PHIE),Clay Volume (VCL),Permeability (Perm),Water Saturation (SW),Labels
2481.9864,73.0531,2.0336,2.0994,2.0909,2.498,0.3136,0.1475,0.0419,0.7904,0.0001,1.0,1
2482.1388,69.7255,2.0495,2.0441,2.1202,2.4949,0.2877,0.1424,0.0509,0.7066,0.0003,1.0,1
2482.2912,66.4461,2.112,2.1106,2.1312,2.4904,0.2753,0.1414,0.0688,0.5994,0.0034,1.0,1
2482.4436,68.4254,2.1492,2.1164,2.1619,2.4928,0.2852,0.1427,0.0598,0.6543,0.001,1.0,1
2482.596,74.126,2.0337,2.0559,2.0437,2.4949,0.2804,0.1406,0.0321,0.8239,0.0,1.0,1
2482.7484,80.244,1.976,1.9844,1.9919,2.499,0.2936,0.142,0.0212,0.9114,0.0,1.0,1
2482.9008,83.7112,1.9358,1.9796,1.9949,2.5049,0.3081,0.143,0.0138,0.9739,0.0,1.0,1
2483.0532,82.6536,1.9058,1.9822,1.9869,2.5102,0.3143,0.1421,0.0142,0.9666,0.0,1.0,1
2483.2056,79.772,2.011,1.9765,2.0699,2.5099,0.3047,0.1399,0.026,0.8644,0.0,1.0,1
2483.358,74.1239,2.1239,2.0611,2.0803,2.4937,0.3106,0.1487,0.0463,0.7664,0.0001,1.0,1
2483.5104,67.079,2.0244,2.0285,1.8891,2.4642,0.2905,0.1571,0.0654,0.6857,0.001,1.0,1
2483.6628,60.8024,1.5273,1.5177,1.44,2.4305,0.2781,0.1693,0.1066,0.5294,0.0408,1.0,0
2483.8152,55.4299,1.2822,1.311,1.2905,2.4052,0.2909,0.1959,0.1389,0.4935,0.1704,1.0,0
2483.9676,54.6195,1.334,1.3617,1.4036,2.3945,0.2768,0.1955,0.1658,0.4347,0.6633,1.0,0
2484.12,56.0255,1.4827,1.5306,1.5529,2.4084,0.2614,0.1848,0.1353,0.478,0.1842,1.0,0
2484.2724,62.6787,1.7214,1.7678,1.766,2.4425,0.2644,0.1604,0.0923,0.5593,0.0166,1.0,0
2484.4248,70.3659,1.9705,2.0167,1.9873,2.4784,0.2687,0.1452,0.0437,0.7666,0.0001,1.0,1
2484.5772,77.507,2.0148,2.0429,2.0357,2.5045,0.2923,0.1392,0.0294,0.8361,0.0,1.0,1
2484.7296,81.1363,2.0033,2.054,2.0399,2.5108,0.3238,0.1442,0.0237,0.9043,0.0,1.0,1
2484.882,83.5397,1.9836,1.9918,2.0088,2.5036,0.3255,0.1479,0.0255,0.9094,0.0,1.0,1
2485.0344,83.4939,1.9365,1.9846,1.9553,2.494,0.302,0.1464,0.0176,0.9618,0.0,1.0,1
2485.1868,79.0297,1.9376,1.9697,1.9457,2.4785,0.3103,0.1555,0.0336,0.888,0.0,1.0,1
2485.3392,70.8774,1.9133,1.9934,1.9157,2.4707,0.278,0.151,0.0555,0.7184,0.0004,1.0,1
2485.4916,63.9384,1.8479,1.9242,1.9029,2.4656,0.2639,0.1498,0.0844,0.5563,0.0122,1.0,0
2485.644,61.3075,1.8288,1.8954,1.9265,2.4744,0.2634,0.1457,0.0826,0.5493,0.0122,1.0,0
2485.7964,65.0096,2.0002,1.9844,2.0564,2.486,0.2725,0.1427,0.07,0.5986,0.0036,1.0,1
2485.9488,68.1833,2.0187,1.9182,1.9624,2.4881,0.2603,0.1387,0.0413,0.7509,0.0001,1.0,1
2486.1012,66.7169,1.8392,1.7768,1.694,2.4776,0.2671,0.1451,0.0508,0.72,0.0003,1.0,1
2486.2536,60.4793,1.536,1.516,1.42,2.4481,0.284,0.1628,0.1027,0.5241,0.0374,1.0,0
2486.406,52.7478,1.233,1.3058,1.2074,2.4185,0.2755,0.1854,0.1576,0.4282,0.5881,1.0,0
2486.7108,52.1628,1.292,1.3114,1.3462,2.4156,0.2597,0.1813,0.1558,0.402,0.7605,1.0,0
2486.8632,55.8065,1.6296,1.6278,1.664,2.4467,0.2552,0.1562,0.0899,0.5548,0.0158,1.0,0
2487.0156,58.8487,1.9851,1.96,1.9695,2.474,0.2563,0.1441,0.0914,0.509,0.0285,1.0,0
2487.168,59.8947,2.1723,2.1397,2.146,2.4932,0.2665,0.1379,0.0813,0.5283,0.0145,1.0,0
2487.3204,60.5594,2.2068,2.2586,2.217,2.4994,0.267,0.1352,0.073,0.5547,0.0071,1.0,1
2487.4728,62.5623,2.1611,2.2022,2.2196,2.4977,0.2546,0.1329,0.0725,0.5486,0.0074,1.0,1
2487.6252,61.3896,2.1426,2.2172,2.2358,2.4896,0.2578,0.1374,0.0571,0.6459,0.001,1.0,1
2487.7776,61.9753,2.0781,2.0579,2.1005,2.4914,0.2508,0.1348,0.0762,0.5392,0.01,1.0,0
2487.93,60.9771,2.1397,2.0639,2.0746,2.4838,0.2557,0.1395,0.0696,0.5877,0.004,1.0,1
2488.0824,60.1962,2.0544,1.9809,1.8874,2.4618,0.2754,0.1544,0.0824,0.5826,0.0082,1.0,0
2488.2348,56.8549,1.6402,1.6594,1.4868,2.4294,0.271,0.1795,0.1339,0.4707,0.1927,1.0,0
2488.3872,52.5489,1.3114,1.3316,1.2805,2.4125,0.2791,0.189,0.1604,0.4327,0.5971,1.0,0
2488.692,54.5344,1.5784,1.6646,1.7045,2.4504,0.245,0.1623,0.1394,0.4036,0.4866,1.0,0
2488.8444,58.6466,1.8897,1.8471,1.8968,2.4807,0.2559,0.1409,0.0753,0.5656,0.007,1.0,0
2488.9968,59.6781,1.9267,1.817,1.725,2.4883,0.2678,0.1405,0.0745,0.5676,0.0066,1.0,1
2489.1492,58.8678,1.4341,1.3701,1.2522,2.4616,0.2783,0.1689,0.1297,0.4615,0.1892,1.0,0
2489.3016,58.3363,1.0637,1.0341,0.9989,2.4282,0.2759,0.1698,0.1148,0.5012,0.075,1.0,0
2489.454,59.3936,0.9738,0.9659,0.9393,2.4069,0.2448,0.1717,0.1038,0.5487,0.0294,1.0,0
2489.6064,57.9368,0.999,1.0122,0.9605,2.4005,0.2582,0.178,0.1103,0.5429,0.0397,1.0,0
2489.7588,55.2786,1.076,1.0838,1.028,2.3959,0.2622,0.1901,0.1349,0.4911,0.1565,1.0,0
2489.9112,53.6771,1.1915,1.1991,1.1491,2.405,0.2503,0.1824,0.1451,0.4555,0.3129,1.0,0
2490.0636,55.7229,1.5075,1.4928,1.4708,2.4319,0.2509,0.1717,0.1453,0.4405,0.3732,1.0,0
2490.216,63.2281,2.0214,2.1081,1.9792,2.4738,0.2738,0.1485,0.0803,0.5706,0.0085,1.0,1
2490.3684,71.4225,2.2673,2.2412,2.2135,2.5077,0.2719,0.1327,0.0344,0.7675,0.0,1.0,1
2490.5208,73.2536,2.4675,2.4371,2.4053,2.5215,0.2723,0.1265,0.0181,0.8538,0.0,1.0,1
2490.6732,67.3756,2.716,2.7494,2.62,2.5277,0.2609,0.1208,0.0406,0.6688,0.0002,1.0,2
2490.8256,62.7167,2.8719,2.7732,2.7144,2.5233,0.2745,0.1262,0.0733,0.5221,0.0105,1.0,2
2490.978,64.5172,2.7915,2.7319,2.5991,2.5245,0.2862,0.1286,0.0555,0.6168,0.0012,1.0,1
2491.1304,70.3895,2.567,2.5508,2.4112,2.5195,0.2837,0.1302,0.0348,0.7528,0.0,1.0,1
2491.2828,72.183,2.4764,2.4099,2.4252,2.5225,0.2824,0.1285,0.0273,0.7968,0.0,1.0,1
2491.4352,70.3815,2.5539,2.5491,2.5537,2.5255,0.3033,0.1324,0.0486,0.674,0.0004,1.0,1
2491.5876,67.1448,2.672,2.7606,2.676,2.5323,0.2487,0.1157,0.038,0.6601,0.0002,1.0,2
2491.74,65.8047,2.8384,2.899,2.8232,2.5357,0.2496,0.1144,0.036,0.6666,0.0001,1.0,2
2491.8924,66.7344,2.8015,2.863,2.7478,2.5345,0.267,0.1192,0.0444,0.6382,0.0004,1.0,2
2492.0448,69.5073,2.6027,2.638,2.5899,2.5296,0.2689,0.122,0.0347,0.7119,0.0001,1.0,1
2492.1972,71.3897,2.4947,2.558,2.5531,2.5272,0.2632,0.1216,0.024,0.7842,0.0,1.0,1
2492.3496,70.8955,2.5024,2.6861,2.6478,2.5244,0.2752,0.1259,0.0311,0.756,0.0,1.0,1
2492.502,69.6803,2.4485,2.5538,2.6141,2.5164,0.3116,0.1386,0.0466,0.7158,0.0002,1.0,1
2492.6544,68.2355,2.3288,2.4291,2.5284,2.5049,0.2707,0.1336,0.0441,0.7077,0.0002,1.0,1
2492.8068,63.7027,2.3415,2.4897,2.6073,2.4979,0.2423,0.1297,0.0555,0.6216,0.0011,1.0,1
2492.9592,56.7115,2.4042,2.4963,2.6586,2.4989,0.2272,0.1368,0.1082,0.4538,0.1029,1.0,0
2493.1116,51.522,2.5153,2.585,2.7113,2.5056,0.2194,0.1315,0.1148,0.3621,0.3716,1.0,0
2493.264,51.9678,2.4473,2.5116,2.5244,2.5124,0.2163,0.1277,0.1097,0.4015,0.1987,1.0,0
2493.4164,56.5154,2.2954,2.3738,2.3499,2.5163,0.2258,0.1293,0.083,0.496,0.0228,1.0,0
2493.5688,60.9989,2.2481,2.3737,2.2955,2.513,0.2616,0.1277,0.0572,0.6034,0.0016,1.0,1
2493.7212,64.0504,2.2109,2.226,2.1796,2.5031,0.2816,0.1372,0.0629,0.6129,0.002,1.0,1
2493.8736,64.9393,2.1327,2.2245,2.0773,2.4992,0.261,0.1338,0.0516,0.6625,0.0005,1.0,1
2494.026,64.162,2.1763,2.1449,2.1229,2.4939,0.2747,0.1396,0.0625,0.6258,0.0017,1.0,1
2494.1784,63.4422,2.0603,2.1082,2.0747,2.4943,0.2809,0.141,0.0625,0.6315,0.0016,1.0,1
2494.3308,59.5264,2.1037,2.1711,2.1552,2.4865,0.2453,0.1356,0.0645,0.5979,0.0027,1.0,1
2494.4832,56.185,2.2962,2.3224,2.3051,2.488,0.2536,0.15,0.1276,0.4267,0.2655,1.0,0
2494.6356,53.4353,2.5839,2.6299,2.5468,2.4946,0.2368,0.1417,0.1223,0.3911,0.34,1.0,0
2494.788,54.3095,2.7645,2.8462,2.6947,2.5032,0.2251,0.123,0.0746,0.5072,0.0133,1.0,0
2494.9404,54.9923,2.6746,2.641,2.575,2.5008,0.2218,0.1342,0.0939,0.4761,0.0462,1.0,0
2495.0928,55.8043,2.5469,2.5527,2.4858,2.4962,0.2389,0.1418,0.1207,0.4256,0.2166,1.0,0
2495.2452,59.3723,2.5206,2.5875,2.5026,2.4959,0.2343,0.1286,0.072,0.5358,0.0083,1.0,0
2495.3976,63.2296,2.5038,2.426,2.3787,2.4943,0.2628,0.1365,0.0637,0.6057,0.0023,1.0,1
2495.55,65.8803,2.2326,2.183,2.0007,2.4686,0.2717,0.1504,0.0645,0.6613,0.0013,1.0,1
2495.7024,61.0256,1.7627,1.6368,1.5213,2.4257,0.2831,0.1727,0.0887,0.6238,0.0068,1.0,0
2495.8548,54.9908,1.2534,1.2329,1.1233,2.3829,0.2777,0.2005,0.1695,0.4416,0.6671,1.0,0
2496.9216,62.3143,1.0642,1.0294,1.0811,2.4049,0.2738,0.1799,0.1097,0.5517,0.0351,1.0,0
2497.074,73.1385,1.5219,1.5123,1.5087,2.456,0.2784,0.1578,0.0399,0.8545,0.0,1.0,1
2497.2264,78.9605,1.7824,1.854,1.734,2.4918,0.323,0.1527,0.0283,0.9126,0.0,1.0,1
2497.3788,79.3538,1.8169,1.84,1.7979,2.5025,0.3412,0.1523,0.0354,0.8598,0.0,1.0,1
2497.5312,76.6277,1.8856,1.8428,1.8989,2.5102,0.3087,0.1407,0.0283,0.852,0.0,1.0,1
2497.6836,75.8321,2.0583,2.0662,2.0512,2.5078,0.3333,0.148,0.0426,0.7879,0.0001,1.0,1
2497.836,75.9642,2.0141,2.0825,1.9476,2.5084,0.3387,0.149,0.0383,0.8229,0.0,1.0,1
2497.9884,77.8244,1.8907,1.8851,1.8223,2.5023,0.3497,0.1546,0.0347,0.8755,0.0,1.0,1
2498.1408,77.664,1.9121,1.9159,1.8802,2.5031,0.3437,0.1527,0.04,0.8286,0.0,1.0,1
2498.2932,76.2812,1.9464,1.9242,1.9447,2.508,0.3407,0.1497,0.04,0.8142,0.0,1.0,1
2498.4456,75.2296,2.039,2.0351,2.0321,2.5199,0.3028,0.1348,0.0282,0.8224,0.0,1.0,1
2498.598,74.7279,2.2276,2.1865,2.2187,2.529,0.3062,0.1316,0.0334,0.7687,0.0,1.0,1
2498.7504,72.4209,2.2373,2.199,2.2035,2.529,0.295,0.1288,0.0287,0.7878,0.0,1.0,1
2498.9028,67.7596,2.1846,2.2277,2.1555,2.5137,0.2774,0.1313,0.0447,0.693,0.0002,1.0,1
2499.0552,62.7319,2.0766,2.0403,2.0388,2.497,0.2686,0.1367,0.0767,0.5436,0.0097,1.0,1
2499.2076,59.6025,1.9085,1.8604,1.8615,2.4844,0.2601,0.1403,0.0898,0.5038,0.0283,1.0,0
2499.36,57.9861,1.7455,1.7347,1.6698,2.4769,0.2719,0.1467,0.0956,0.5018,0.0368,1.0,0
2499.5124,57.5752,1.747,1.728,1.658,2.4693,0.2819,0.1526,0.0947,0.5228,0.0279,1.0,0
2499.6648,54.8544,1.625,1.6152,1.5423,2.4554,0.2727,0.1566,0.0978,0.5237,0.0312,1.0,0
